title,price,brand,colortitle,sizes
Cloudnova X,"Rs. 14,700.00",ON,Frost | Orange,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloudaway 2,"Rs. 13,700.00",ON,Sand | Ice,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloud Sneaker,"Rs. 12,700.00",BACK70,Navy,"36,37,38,39,40,41"
Palms Sneaker,"Rs. 27,000.00",ALEPEL,Pink,"6,7,8,9"
Flowers Sneaker,"Rs. 27,000.00",ALEPEL,Blue,"6,7,8,9"
Bucareste,"Rs. 12,600.00",CARBON38 X VICENZA,Cristal Prata,"5,6,7,8,9,10"
Bucareste,"Rs. 12,600.00",CARBON38 X VICENZA,Napa Brilho Off White,"5,6,7,8,9,10"
Odessa,"Rs. 15,400.00",CARBON38 X VICENZA,Veneto Off White,"5,6,7,8,9,10"
Padded Braided Slide,"Rs. 23,800.00",INUIKII,Purple,"36,37,38,39,40,41"
Woven Slide,"Rs. 26,500.00",INUIKII,Lime,"36,37,38,39,40,41"
Loose Knitted Slide,"Rs. 22,900.00",INUIKII,Fuchsia,"36,37,38,39,40,41"
Por Do Sol Shimmer Silver Leather Ballet Flats,"Rs. 20,100.00",ALOHAS,Shimmer Silver,"36,37,38,39,40"
Por Do Sol Denim Ballet Flats,"Rs. 16,500.00",ALOHAS,Denim Blue,"36,37,38,39,40"
Lucien Leather Ballet Flats,"Rs. 25,600.00",ALOHAS,White,"36,37,38,39,40"
Glyn Espadrille,"Rs. 32,000.00",SEE BY CHLOE,Light Gold,"36,37,38,39,40"
Ona Streetworks Fisherman Mid Sandal,"Rs. 11,900.00",SOREL,Black/Sea Salt,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Calypso Leather Sandals,"Rs. 12,800.00",ALOHAS,Black,"36,37,38,39,40"
Suzan,"Rs. 43,400.00",SEE BY CHLOE,Natural,"6,6.5,7,7.5,8,8.5,9"
Jakara Leather Sandals,"Rs. 18,300.00",ALOHAS,Cream,"36,37,38,39,40"
Hana,"Rs. 41,100.00",SEE BY CHLOE,Tan,"6,6.5,7,7.5,8,8.5,9"
Monyca,"Rs. 38,800.00",SEE BY CHLOE,Optical White,"36,37,38,39,40,41"
Lindy Bliss Red Leather Pumps,"Rs. 13,700.00",ALOHAS,Red,"36,37,38,39,40"
Glyn,"Rs. 29,700.00",SEE BY CHLOE,Tan,"5,6,7,8,9,10"
Arizona Big Buckle,"Rs. 14,700.00",BIRKENSTOCK,Cognac,"36,37,38,39,40"
Alicudi Wave,"Rs. 52,500.00",MISSONI,Multi Lurex Pink,"36,37,38,39,40"
Harlow Wave,"Rs. 32,400.00",MISSONI,Multi Black,"36,37,38,39,40"
Woven Stones Slide,"Rs. 26,500.00",INUIKII,True White,"36,37,38,39,40,41"
Harlow Wave,"Rs. 32,400.00",MISSONI,Multi Green Olive,"37,38,39,40"
Kyoto,"Rs. 13,700.00",BIRKENSTOCK,Faded Lime Nubuck,"36,37,38,39,40"
Calypso,"Rs. 11,900.00",ALOHAS,Suede Blue Leather,"35,36,37,38,39,40,41"
Kyoto,"Rs. 13,700.00",BIRKENSTOCK,Suede/ Midnight,"35,36,37,38,39,40,41"
Boston,"Rs. 14,500.00",BIRKENSTOCK,Antique White,"36,37,38,39,40,41"
Avenue Mix,"Rs. 23,800.00",FILLING PIECES,Light Brown,"36,37,38,39"
Cloudspark,"Rs. 14,700.00",ON,Ivory | Glacier,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Vallely,"Rs. 12,700.00",CARIUMA,Off-White/Grey - Premium Leather,"5.5,6,6.5,7,7.5,8,8.5,9,9.5"
Cloudpulse,"Rs. 13,700.00",ON,Undyed | Frost,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudswift 3 AD,"Rs. 14,700.00",ON,Savannah | Ice,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloudmonster,"Rs. 15,600.00",ON,Dust | Vapor,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
aSMC Earthlight Pro,"Rs. 21,800.00",ADIDAS BY STELLA MCCARTNEY,Signal Green/Hazy Orange/White,"6,6.5,7,7.5,8,8.5,9,9.5"
aSMC Earthlight Pro,"Rs. 21,800.00",ADIDAS BY STELLA MCCARTNEY,Active Orange/Real Magenta/Shock Purple,"6,6.5,7,7.5,8,8.5,9,9.5"
aSMC UltraBoost 20,"Rs. 21,000.00",ADIDAS BY STELLA MCCARTNEY,Active Orange/Active Orange/White,"6,6.5,7,7.5,8,8.5,9,9.5"
Nike Cortez,"Rs. 8,300.00",NIKE,White/Cedar-Red Stardust-Sail,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Pegasus Trail 4,"Rs. 11,700.00",NIKE,Platinum Violet/Luminous Green,"6,6.5,7,7.5,8,8.5,9,9.5,10"
HANA,"Rs. 38,800.00",SEE BY CHLOE,NATURAL,"36,37,38,39,40"
Joei,"Rs. 27,200.00",SEE BY CHLOE,Blue,"36,37,38,39,40,41"
Prue,"Rs. 41,100.00",SEE BY CHLOE,Blue,"6,7,8,9"
Pheebe,"Rs. 36,900.00",SEE BY CHLOE,Medium Blue,"36,37,38,39,40,41"
Mike,"Rs. 15,600.00",ALOHAS,Suede Blue Leather,"36,37,38,39,40"
Rosalind Ballet Flats,"Rs. 13,700.00",ALOHAS,Cream,"36,37,38,39,40"
Cactus Camel Sandal,"Rs. 18,100.00",ALOHAS,Camel,"36,37,38,39,40"
Balla Crystal,"Rs. 54,400.00",DEAR FRANCES,Silver,"36,37,38,39"
Balla Crystal,"Rs. 45,200.00",DEAR FRANCES,Silver,"36,37,38,39"
Boston EVA,"Rs. 5,500.00",BIRKENSTOCK,Eggshell,"36,37,38,39,40"
Oryon Runner,"Rs. 25,400.00",FILLING PIECES,Brown,"37,38,39"
Nike Free Metcon 5,"Rs. 11,900.00",NIKE,Black/White-Anthracite,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Sprinter,"Rs. 22,900.00",FILLING PIECES,Snake Black,"36,37,38,39"
Salvas,"Rs. 11,800.00",CARIUMA,Fuchsia,"6,6.5,7,7.5,8,8.5,9"
Campo,"Rs. 16,000.00",VEJA,Extra-White California,"36,37,38,39,40,41"
Nike Infinity Run 4 ReactX Gore-Tex,"Rs. 14,800.00",NIKE,Pale Ivory/Anthracite-Summit White,"6,6.5,7,7.5,8,8.5,9,9.5,10"
aSMCxTERREX FREE HIKER RAINRDY,"Rs. 23,300.00",ADIDAS BY STELLA MCCARTNEY,core black/semi flash green/deep lilac,"6,6.5,7,7.5,8,8.5,9,9.5"
aSMCxTERREX FREE HIKER RAINRDY,"Rs. 23,300.00",ADIDAS BY STELLA MCCARTNEY,core black/semi flash green/deep lilac,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10"
aSMC x TERREX HIKING BOOT,"Rs. 19,500.00",ADIDAS BY STELLA MCCARTNEY,sand/utility black/purple glow,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10"
COZY SUEDE MULE,"Rs. 10,900.00",ALOHAS,TAUPE LEATHER,"35,36,37,38,39,40,41"
Hana Boot,"Rs. 46,200.00",SEE BY CHLOE,Dark Beige,"35,36,37,38,39,40,41"
cloud x 3 AD,"Rs. 13,700.00",ON,Black | White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Blazer Mid '77 Vintage,"Rs. 9,600.00",NIKE,WHITE/BLACK-SAIL,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Low-Top Hybrid Slipper Sneaker,"Rs. 14,700.00",TIME,Gray,"5.5,6.5,7.5,8.5,9.5"
TB.35,"Rs. 15,400.00",ALOHAS,COOKIE,"35,36,37,38,39,40,41"
