title,price,brand,colortitle,sizes,imageurl
Oversized Denim Jacket,"Rs. 18,100.00",CARBON38,Denim Blue,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD528-BLUE-23SM-OVERSIZEd-DENIM-JACKET-color-DENIM-BLUE_0978.jpg?v=1716520962&width=400
Long Sleeve Off Shoulder Tee,"Rs. 8,100.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6028-BLUE-23FAL-Long-Sleeve-Off-Shoulder-Tee-color-Navy-Blazer_42728.jpg?v=1692658436&width=400
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-BLUE-22SS-HIGH-RISE-FULL-LENGTH-LEGGING-IN-MELT-color-NAVY-BLAZER_20931.jpg?v=1701306003&width=400
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD615-NVY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-NAVY-BLAZER_15988.jpg?v=1700258206&width=400
Split Bootcut Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD163-NVY-22HOL-Split-Bootcut-Legging-in-melt-color-Navy-Blazer_20861.jpg?v=1701305247&width=400
Jogger in Melt,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD822-BLUE-22SS-Jogger-in-Melt-color-NAVY-BLAZER_31341-Edit.jpg?v=1729647056&width=400
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD273-NVY-22HOL-One-Shoulder-Convertible-Bra-Top-in-Melt-color-Navy-Blazer_2011.jpg?v=1717443905&width=400
V-Neck Jumpsuit in Melt,"Rs. 13,600.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD411-BLUE-22SS-V-Neck-Jumpsuit-in-melt-color-NAVY-BLAZER_21136.jpg?v=1702492775&width=400
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-CRB20301-NAVY-Long-RacerBack-Tank-color-NAVY-blazer_2419.jpg?v=1680561172&width=400
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD278-BLUE-22SS-V-NECK-LONGLINE-BRA-in-melt-color-NAVY-BLAZER_21033.jpg?v=1701306848&width=400
