title,price,brand,colortitle,sizes
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL"
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
Regular Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
Short Sleeve Pocket Tee,"Rs. 7,200.00",CARBON38,White,"XS,S,M,L,XL"
Oversized Button Up Shirt,"Rs. 11,700.00",CARBON38,White,"XS,S,M,L,XL"
Long Sleeve Off Shoulder Tee,"Rs. 8,100.00",CARBON38,White,"XS,S,M,L,XL"
High Rise 7/8 Legging in Takara Shine,"Rs. 10,000.00",CARBON38,Spice Route,"XS,S,M,L,XL"
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XS,S,M,L,XL"
V-Neck Longline Bra,"Rs. 6,900.00",CARBON38,Black,"XS,S,M,L,XL"
Short Sleeve Pocket Tee,"Rs. 7,200.00",CARBON38,White,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 8,400.00",CARBON38,Lavender Blue,"XS,S,M,L,XL"
Ribbed Cami Bra,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL"
SLEEVELESS MOCK NECK TOP IN MELT,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL"
Criss Cross Bra in Crocodile Takara Shine,"Rs. 6,900.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Short Sleeve Pocket Tee,"Rs. 6,100.00",CARBON38,Pickled Beet,"XS,S,M,L,XL"
Cut Out Scoop Bra in Diamond Compression,"Rs. 6,900.00",CARBON38,Olive,"XS,S,M,L,XL"
Front Twist Tank,"Rs. 6,300.00",CARBON38,Black,"XS,S,M,L,XL"
Ribbed Cami Bra,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL"
Split Bootcut Sweatpant,"Rs. 11,500.00",CARBON38,Heather Grey,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 8,400.00",CARBON38,Lavender Blue,"XS,S,M,L,XL"
Split Bootcut Legging in Melt,"Rs. 9,200.00",CARBON38,Silverpine,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL"
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise 7/8 Legging in Leopard Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Front Twist Tank,"Rs. 6,300.00",CARBON38,Black,"XS,S,M,L,XL"
